Alabama,16.1
Alaska,15.2
Arizona,16.3666666666667
Arkansas,15.74
California,14.5842975206612
Colorado,14.0928571428571
Connecticut,16.5125
Delaware,18
Florida,21.7181818181818
Georgia,18.5272727272727
Hawaii,10.5
Idaho,16.6
Illinois,14.1888888888889
Indiana,16.0272727272727
Iowa,11.2666666666667
Kansas,16.3
Kentucky,9.95
Louisiana,19.7666666666667
Maine,11.9
Maryland,13.7
Massachusetts,11.8
Michigan,13.85
Minnesota,9
Mississippi,22.25
Missouri,14.9125
Montana,13.9
Nebraska,15.35
Nevada,17.36
New Hampshire,13.15
New Jersey,25.8444444444444
New Mexico,13.95
New York,14.8666666666667
North Carolina,18.9285714285714
North Dakota,10.2
Ohio,15.7222222222222
Oklahoma,14.8333333333333
Oregon,12.875
Pennsylvania,18.6
Rhode Island,13.175
South Carolina,16.14
South Dakota,11.4
Tennessee,16.8333333333333
Texas,25.236170212766
Utah,15.2888888888889
Vermont,9.7
Virginia,14.7454545454545
Washington,13.1357142857143
West Virginia,10.3
Wisconsin,12.1571428571429
Wyoming,16.4
